Date,Domain,SiteTime
04/27/2015,bing.com,8
04/27/2015,linkedin.com,381
04/27/2015,live.com,94
04/27/2015,mail.google.com,315
04/27/2015,support.google.com,9
04/27/2015,youtube.com,48
04/28/2015,9lenses.com,102
04/28/2015,accounts.google.com,50
04/28/2015,aljazeera.net,112
04/28/2015,appengine.google.com,10
04/28/2015,appspot.com,81
04/28/2015,assabeel.net,153
04/28/2015,att.com,603
04/28/2015,azure.microsoft.com,272
04/28/2015,azureml.net,403
04/28/2015,bing.com,883
04/28/2015,careerbliss.com,28
04/28/2015,cloud.google.com,153
04/28/2015,code.google.com,73
04/28/2015,codeskulptor.org,77
04/28/2015,console.developers.google.com,604
04/28/2015,coursera.org,346
04/28/2015,datasciencecentral.com,846
04/28/2015,developers.google.com,1056
04/28/2015,egyptwindow.net,111
04/28/2015,ethz.ch,8
04/28/2015,forbes.com,311
04/28/2015,glassdoor.com,101
04/28/2015,google.com,119
04/28/2015,icims.com,25
04/28/2015,idiotechie.com,353
04/28/2015,linkedin.com,1298
04/28/2015,live.com,1820
04/28/2015,mail.google.com,652
04/28/2015,myaccount.google.com,114
04/28/2015,oreilly.com,13
04/28/2015,org.uk,64
04/28/2015,palinfo.com,148
04/28/2015,pmstudycircle.com,2758
04/28/2015,psu.edu,26
04/28/2015,python.org,445
04/28/2015,r-bloggers.com,94
04/28/2015,research.microsoft.com,11
04/28/2015,rstudio.com,159
04/28/2015,security.google.com,81
04/28/2015,signupgenius.com,121
04/28/2015,tatvic.com,669
04/28/2015,tech.co,51
04/28/2015,wikipedia.org,566
04/28/2015,windows.net,2
04/28/2015,wp.com,15
04/28/2015,yahoo.com,130
04/28/2015,youtube.com,2922
05/02/2015,live.com,29
05/02/2015,yahoo.com,19
05/03/2015,accounts.google.com,21
05/03/2015,appspot.com,379
05/03/2015,bbc.com,19
05/03/2015,bigquery.cloud.google.com,35
05/03/2015,bing.com,145
05/03/2015,console.developers.google.com,196
05/03/2015,developers.google.com,564
05/03/2015,docs.google.com,26
05/03/2015,groupme.com,176
05/03/2015,live.com,253
05/03/2015,mail.google.com,77
05/03/2015,youtube.com,7
05/11/2015,agileload.com,52
05/11/2015,answers.com,76
05/11/2015,azure.microsoft.com,141
05/11/2015,bing.com,727
05/11/2015,blogspot.com,8
05/11/2015,codeplex.com,23
05/11/2015,coursera.org,450
05/11/2015,facebook.com,44
05/11/2015,go.microsoft.com,3
05/11/2015,linkedin.com,251
05/11/2015,live.com,1697
05/11/2015,mail.google.com,392
05/11/2015,microsoft.com,197
05/11/2015,mindlance.com,31
05/11/2015,msdn.com,86
05/11/2015,msdn.microsoft.com,688
05/11/2015,nakedalm.com,212
05/11/2015,slideshare.net,223
05/11/2015,social.msdn.microsoft.com,62
05/11/2015,sql-tutorial.net,553
05/11/2015,sqlservercentral.com,21
05/11/2015,sqlteam.com,147
05/11/2015,stackexchange.com,119
05/11/2015,stackoverflow.com,128
05/11/2015,visualstudio.com,1961
05/11/2015,wikipedia.org,58
05/11/2015,windows.net,1
05/11/2015,wordpress.com,110
05/11/2015,yahoo.com,39
